"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"12/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"208.758,34";"182.328,97";"138.816,10";"5.542,04";
"05/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"2.400,00";"114.928,66";"246.585,68";"13.803,75";
"04/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"432.386,70";"187.199,59";"57.530,51";"31.375,19";
"06/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"59.374,98";"115.083,19";"64.363,53";"93.162,00";
"10/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"52.360,16";"128.716,39";"158.679,05";"23.756,76";
"01/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"29.917,74";"1.026,41";"158,49";"56.219,22";
"09/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"152.715,79";"135.384,15";"161.611,16";"79.796,81";
"02/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"135.974,22";"7.722,80";"3.014,46";"92.095,84";
"07/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"278.025,66";"152.448,71";"129.083,41";"16.528,42";
"03/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"282.212,37";"127.394,55";"80.895,37";"59.814,74";
"08/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"31.285,06";"189.760,99";"209.272,53";"0,00";
"11/2020";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"134.780,14";"122.066,45";"156.906,77";"20.797,51";
