"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"170.940,32";"259.513,05";"334.030,29";"2.247,91";
"10/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"718.631,03";"235.047,72";"372.122,49";"8.531,54";
"07/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"209.598,96";"285.802,73";"356.165,90";"0,00";
"12/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"175.730,81";"710.604,53";"765.002,06";"0,00";
"06/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"492.508,31";"288.725,00";"141.770,16";"4.714,50";
"02/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"457.852,91";"105.877,09";"67.172,44";"10.773,27";
"08/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"237.323,72";"230.801,55";"130.075,90";"17.524,34";
"09/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"722.939,49";"323.009,69";"282.036,53";"24.125,82";
"03/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"282.673,22";"226.469,65";"171.789,41";"32.991,70";
"01/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"0,00";"0,00";"0,00";"91.319,42";
"04/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"29.934,79";"170.389,19";"168.049,91";"40.474,46";
"11/2025";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"260.804,82";"220.333,87";"204.490,69";"0,00";
