"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"05/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"46.271,74";"120.275,18";"99.612,01";"15.766,85";
"02/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"269.568,34";"75.479,76";"12.925,45";"98.734,25";
"04/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"968,00";"107.279,22";"47.041,78";"5.076,54";
"07/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"100.068,21";"114.855,12";"114.630,97";"14.899,67";
"11/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"102.855,12";"91.630,80";"48.340,79";"1.991,68";
"12/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"37.013,04";"91.022,86";"135.809,86";"747,72";
"09/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"132.018,42";"145.854,79";"78.702,66";"0,00";
"03/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"361.044,09";"67.380,46";"94.113,70";"157.013,54";
"06/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"26.833,05";"139.413,54";"160.460,10";"8.222,89";
"01/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"96.880,79";"12.568,50";"0,00";"24.390,81";
"08/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"144.808,47";"123.116,89";"193.956,51";"27.950,54";
"10/2018";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"76.529,13";"121.397,40";"224.680,69";"8.943,46";
