"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"115.083,71";"9.445,75";"224,33";"15.771,79";
"03/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"24.008,49";"61.879,93";"67.279,43";"68.605,59";
"12/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"281.424,45";"84.914,66";"282.643,07";"0,00";
"10/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"484.452,13";"205.456,91";"124.196,26";"0,00";
"07/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"61.881,08";"55.292,17";"144.578,38";"19.939,08";
"08/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"105.333,87";"206.218,41";"88.310,94";"2.513,20";
"09/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"53.738,60";"85.699,66";"153.981,47";"534,21";
"02/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"112.997,96";"63.243,59";"19.307,43";"21.317,52";
"06/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"135.793,39";"152.889,75";"179.918,68";"852,80";
"04/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"359.513,61";"53.712,54";"83.468,85";"2.419,66";
"05/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"9.490,90";"188.841,67";"39.661,29";"36.996,33";
"11/2019";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"210.358,04";"159.843,57";"142.874,63";"0,00";
