"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"07/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"144.452,35";"106.686,42";"135.012,85";"1.761,75";
"12/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"- 2.740,99";"130.538,08";"231.873,03";"0,00";
"03/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"334.625,23";"109.168,48";"84.692,37";"6.870,46";
"10/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"146.507,84";"130.623,96";"165.158,56";"829,92";
"05/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"71.704,16";"119.292,89";"67.687,89";"1.848,78";
"08/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"28.898,90";"119.158,32";"179.202,16";"0,00";
"02/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"112.706,87";"94.222,41";"18.542,38";"155.933,21";
"06/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"1.000,00";"100.175,87";"155.045,31";"29.525,06";
"11/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"111.666,46";"113.264,31";"17.598,64";"0,00";
"04/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"346.325,27";"103.155,80";"79.615,73";"13.998,63";
"09/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"135,98";"115.713,63";"78.966,75";"1.285,98";
"01/2016";"26000 - Ministério da Educação";"26439 - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo";"158716 - IFSP - CAMPUS JACAREI";"108.706,87";"8.772,41";"419,41";"110.780,10";
